1	OKC	MCI	TUL	0.0	03/01	05/01
1	OKC	MCI	SEA	0.0	03/01	05/01
1	OKC	MCI	SAN	0.0	03/01	05/01
1	OKC	MCI	MDW	0.0	03/01	05/01
1	OKC	MCI	MCO	0.0	03/01	05/01
1	OKC	MCI	BWI	0.0	03/01	05/01
1	OKC	MCI	BNA	0.0	03/01	05/01
1	OKC	HOU	STL	0.0	03/01	05/01
1	OKC	HOU	SAT	0.0	03/01	05/01
1	OKC	HOU	MCO	0.0	03/01	05/01
1	OKC	HOU	MAF	0.0	03/01	05/01
1	OKC	HOU	JAN	0.0	03/01	05/01
1	OKC	HOU	DAL	0.0	03/01	05/01
1	OKC	HOU	CRP	0.0	03/01	05/01
1	OKC	HOU	BWI	0.0	03/01	05/01
1	OKC	HOU	AUS	0.0	03/01	05/01
1	OKC	DEN	SEA	0.0	03/01	05/01
1	OKC	DEN	LAS	0.0	03/01	05/01
1	OKC	DEN	AUS	0.0	03/01	05/01
1	OKC	DAL	TUL	0.0	03/01	05/01
1	OKC	DAL	SAT	0.0	03/01	05/01
1	OKC	DAL	LBB	0.0	03/01	05/01
1	OKC	DAL	HOU	0.0	03/01	05/01
1	OKC	DAL	AUS	0.0	03/01	05/01
1	OKC	DAL	AMA	0.0	03/01	05/01
1	XNA	LGA	XNA	0.0	02/01	04/01
1	OAK	SEA	MSP	0.0	03/01	05/01
1	OAK	SEA	MDW	0.0	03/01	05/01
1	OAK	SEA	GEG	0.0	03/01	05/01
1	OAK	SEA	DTW	0.0	03/01	05/01
1	OAK	SEA	DEN	0.0	03/01	05/01
1	OAK	SEA	BOI	0.0	03/01	05/01
1	OAK	SAN	PHX	0.0	03/01	05/01
1	OAK	PHX	ONT	0.0	03/01	05/01
1	OAK	PHX	MSP	0.0	03/01	05/01
1	OAK	PHX	MEM	0.0	03/01	05/01
1	OAK	PHX	LAX	0.0	03/01	05/01
1	OAK	PHX	LAS	0.0	03/01	05/01
1	OAK	PHX	DTW	0.0	03/01	05/01
1	OAK	ONT	LAS	0.0	03/01	05/01
1	OAK	LAX	DTW	0.0	03/01	05/01
1	MSY	MEM	DTW	0.0	03/01	05/01
1	MSY	MEM	DCA	0.0	03/01	05/01
1	MSY	MEM	ATL	0.0	03/01	05/01
1	MSY	HOU	STL	0.0	03/01	05/01
1	MSY	HOU	SAT	0.0	03/01	05/01
1	MSY	HOU	MCO	0.0	03/01	05/01
1	MSY	HOU	MAF	0.0	03/01	05/01
1	MSY	HOU	JAN	0.0	03/01	05/01
1	MSY	HOU	DAL	0.0	03/01	05/01
1	MSY	HOU	CRP	0.0	03/01	05/01
1	MSY	HOU	BWI	0.0	03/01	05/01
1	MSY	HOU	AUS	0.0	03/01	05/01
1	MSP	SNA	PHX	0.0	02/01	04/01
1	MSP	SNA	PHX	0.0	01/01	03/01
1	MSP	SNA	MSP	0.0	02/01	04/01
1	MSP	SNA	MSP	0.0	01/01	03/01
1	MSP	SNA	LAS	0.0	02/01	04/01
1	MSP	SNA	LAS	0.0	01/01	03/01
1	MSP	SMF	SNA	0.0	01/01	03/01
1	MSP	SFO	SAN	0.0	02/01	04/01
1	MSP	SFO	LAX	0.0	01/01	03/01
1	MSP	SFO	DTW	0.0	02/01	04/01
1	MSP	SFO	DTW	0.0	01/01	03/01
1	MSP	SEA	MSP	0.0	03/01	05/01
1	MSP	SEA	MSP	0.0	01/01	03/01
